COD_ESTACION;NOM_ESTACION;FECHA;SO2;CO;NO;NO2;NOx;O3;PM10;PM2.5;PM1;NH3;C6H6;C7H8;C8H10;Direc.;H.Rel.;Precip.;Pres.;R.Sol.;Ruido;Temp.;UV-B;Veloc.;Veloc.max.;As;BaA;BaP;BbFA;BjFA;BkFA;Cd;DahA;FA;HMN;H2S;IcdP;Ni;Pb;PST
03002002;AGOST;2024-10-01;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-02;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-03;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-04;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;8;0;-
03002002;AGOST;2024-10-05;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-06;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-07;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-08;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;10;0;-
03002002;AGOST;2024-10-09;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-10;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-11;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-12;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;12;0;-
03002002;AGOST;2024-10-13;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-14;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-15;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-16;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;4;0;-
03002002;AGOST;2024-10-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-18;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-19;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-20;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-21;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-22;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-23;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-25;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-26;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-27;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-28;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03002002;AGOST;2024-10-29;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-30;-;-;-;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03002002;AGOST;2024-10-31;-;-;-;-;-;-;140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-01;3;0,1;1;4;6;72;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-02;3;0,1;2;7;11;66;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-03;3;0,1;2;7;11;70;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-04;3;0,1;2;9;13;72;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-05;3;0,1;2;8;12;66;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-06;3;0,1;2;7;10;54;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-07;3;0,1;3;9;13;53;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-08;3;0,1;2;7;10;71;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-09;3;0,1;2;6;9;71;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-10;3;0,1;2;6;9;75;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-11;3;0,1;2;8;11;74;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-12;3;0,1;2;9;13;72;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-13;3;0,1;2;8;12;73;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-14;3;0,1;3;11;15;68;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,2;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-15;3;0,1;3;12;17;64;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,5;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-16;3;0,1;3;13;17;73;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-17;3;0,1;3;8;12;68;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-18;3;0,1;3;6;10;71;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-19;3;0,1;4;8;13;69;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-20;3;0,1;3;7;11;64;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-21;3;0,1;3;11;16;60;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,2;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-22;3;0,1;3;16;20;54;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-23;3;0,1;3;14;18;60;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-24;3;0,1;3;12;17;48;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-25;3;0,1;3;14;19;57;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,2;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-26;3;0,1;3;7;11;69;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-27;3;0,1;3;8;12;54;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-28;3;0,1;3;10;14;58;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-29;3;0,1;3;9;13;70;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,5;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-30;3;0,1;3;11;15;59;116;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03009006;ALCOI - VERGE DELS LLIRIS;2024-10-31;3;0,1;3;11;16;55;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,7;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03014006;ALACANT - EL PLA;2024-10-01;3;0,1;6;14;23;60;17;-;-;-;0,1;0,3;0,3;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03014006;ALACANT - EL PLA;2024-10-02;3;0,1;10;22;37;50;33;-;-;-;0,2;0,6;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-03;3;0,1;4;9;16;74;21;-;-;-;0,1;0,2;0,1;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03014006;ALACANT - EL PLA;2024-10-04;3;0,1;4;13;20;73;16;-;-;-;0,1;0,2;0,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-05;3;0,1;4;16;22;60;21;-;-;-;0,1;0,3;0,3;-;-;-;-;-;-;-;-;-;-;0,2;-;-;-;-;-;0,1;-;-;-;-;-;4;0;-
03014006;ALACANT - EL PLA;2024-10-06;3;0,1;4;14;20;44;21;-;-;-;0,1;0,2;0,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-07;3;0,1;6;15;24;44;47;-;-;-;0,1;0,5;0,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-08;3;0,1;4;10;17;71;17;-;-;-;0,1;0,2;0,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-09;3;0,1;4;20;26;48;26;-;-;-;0,1;0,6;0,4;-;-;-;-;-;-;-;-;-;-;0,2;-;-;-;-;-;0,1;-;-;-;-;-;3;0;-
03014006;ALACANT - EL PLA;2024-10-10;3;0,1;4;13;20;66;23;-;-;-;0,1;0,3;0,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-11;3;0,1;5;19;27;62;18;-;-;-;0,1;0,4;0,4;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03014006;ALACANT - EL PLA;2024-10-12;3;0,1;4;15;21;67;19;-;-;-;0,1;0,3;0,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-13;3;0,1;4;9;16;72;21;-;-;-;0,1;0,2;0,2;-;-;-;-;-;-;-;-;-;-;0,2;-;-;-;-;-;0,1;-;-;-;-;-;3;0;-
03014006;ALACANT - EL PLA;2024-10-14;3;0,1;9;15;28;52;33;-;-;-;0,2;0,5;0,4;-;-;-;-;-;-;-;-;-;-;0,3;-;-;-;-;-;0,1;-;-;-;-;-;3;0;-
03014006;ALACANT - EL PLA;2024-10-15;3;0,1;3;10;15;57;47;-;-;-;0,1;0,2;0,2;-;-;-;-;-;-;-;-;-;-;0,4;-;-;-;-;-;0,1;-;-;-;-;-;3;0;-
03014006;ALACANT - EL PLA;2024-10-16;3;0,1;3;11;15;56;19;-;-;-;0,1;0,4;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-17;3;0,1;2;6;9;57;21;-;-;-;0,1;0,3;1;-;-;-;-;-;-;-;-;-;-;0,2;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03014006;ALACANT - EL PLA;2024-10-18;3;0,1;1;9;11;61;17;-;-;-;0,1;0,3;0,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-19;3;0,1;1;7;9;61;14;-;-;-;0,1;0,2;0,2;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03014006;ALACANT - EL PLA;2024-10-20;3;0,1;1;8;10;57;14;-;-;-;0,1;0,2;0,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-21;3;0,1;2;7;11;62;15;-;-;-;0,1;0,3;0,3;-;-;-;-;-;-;-;-;-;-;0,2;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03014006;ALACANT - EL PLA;2024-10-22;3;0,1;3;11;16;52;15;-;-;-;0,1;0,4;0,4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-23;3;0,1;1;9;11;52;12;-;-;-;0,1;0,2;0,2;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03014006;ALACANT - EL PLA;2024-10-24;3;0,1;2;9;13;48;15;-;-;-;0,1;0,3;0,3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-25;3;0,1;3;12;17;45;17;-;-;-;0,2;0,4;0,4;-;-;-;-;-;-;-;-;-;-;0,2;-;-;-;-;-;0,1;-;-;-;-;-;4;0;-
03014006;ALACANT - EL PLA;2024-10-26;3;0,1;1;4;6;58;13;-;-;-;0,1;0,2;0,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-27;3;0,1;1;3;5;55;7;-;-;-;0,1;0,2;0,1;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03014006;ALACANT - EL PLA;2024-10-28;3;0,1;3;7;11;50;14;-;-;-;0,1;0,2;0,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-29;3;0,1;1;1;2;73;39;-;-;-;0,1;0,1;0,1;-;-;-;-;-;-;-;-;-;-;0,4;-;-;-;-;-;0,1;-;-;-;-;-;1,4;0;-
03014006;ALACANT - EL PLA;2024-10-30;3;0,1;4;13;19;44;65;-;-;-;0,2;0,4;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014006;ALACANT - EL PLA;2024-10-31;3;0,2;8;22;34;22;131;-;-;-;0,2;0,6;0,8;-;-;-;-;-;-;-;-;-;-;1,3;-;-;-;-;-;0,1;-;-;-;-;-;6;0;-
03014008;ALACANT - FLORIDA BABEL;2024-10-01;3;-;7;13;24;58;-;5;-;-;-;-;-;229;93;0;-;222;-;24,2;-;1,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-02;4;-;11;19;36;51;-;18;-;-;-;-;-;248;64;0;-;196;-;29,1;-;2,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-03;4;-;3;6;12;74;-;13;-;-;-;-;-;277;75;0;-;223;-;26,9;-;3,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-04;5;-;5;12;20;68;-;6;-;-;-;-;-;8;85;0;-;204;-;23,9;-;1,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-05;4;-;3;9;14;64;-;7;-;-;-;-;-;222;92;0;-;200;-;24,9;-;1,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-06;5;-;4;12;19;43;-;9;-;-;-;-;-;188;82;0;-;204;-;28;-;1,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-07;5;-;9;15;29;42;-;40;-;-;-;-;-;156;91;0;-;149;-;25,7;-;1,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-08;4;-;3;8;14;73;-;10;-;-;-;-;-;265;66;0;-;155;-;26,1;-;3,4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-09;3;-;3;18;23;50;-;11;-;-;-;-;-;218;72;0;-;130;-;25,1;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-10;4;-;4;10;18;71;-;17;-;-;-;-;-;276;59;0;-;143;-;25,3;-;3,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-11;3;-;5;16;24;65;-;11;-;-;-;-;-;25;75;0;-;146;-;22,7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-12;3;-;3;7;13;75;-;7;-;-;-;-;-;289;90;0;-;152;-;23,3;-;1,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-13;3;-;3;6;11;75;-;8;-;-;-;-;-;71;87;0;-;174;-;25,8;-;2,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-14;3;-;10;12;29;52;-;7;-;-;-;-;-;144;96;0,4;-;167;-;25,6;-;1,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-15;3;-;4;11;18;54;-;8;-;-;-;-;-;113;99;0,4;-;151;-;25,2;-;1,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-16;3;-;9;16;30;50;-;7;-;-;-;-;-;223;94;0;-;173;-;24,8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-17;3;-;5;10;18;57;-;16;-;-;-;-;-;269;67;0;-;167;-;24,2;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-18;3;-;3;7;12;77;-;7;-;-;-;-;-;282;58;0;-;179;-;22,8;-;3,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-19;4;-;3;8;13;65;-;7;-;-;-;-;-;264;67;0;-;170;-;23,9;-;1,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-20;4;-;3;9;14;60;-;9;-;-;-;-;-;60;77;0;-;129;-;23,9;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-21;3;-;5;15;24;56;-;9;-;-;-;-;-;323;88;0;-;166;-;22,9;-;0,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03014008;ALACANT - FLORIDA BABEL;2024-10-22;3;-;6;15;26;54;-;6;-;-;-;-;-;343;91;0;-;104;-;22,9;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
